City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Denpasar,ID,-8.65,115.2167,80.26,83,40,8.05,scattered clouds
259,Poddorye,RU,57.4695,31.1156,28.8,97,100,9.44,snow
260,Isangel,VU,-19.55,169.2667,80.71,89,100,4.61,light rain
261,Umea,SE,63.8284,20.2597,24.91,86,0,2.3,clear sky
262,Opuwo,NA,-18.0607,13.84,67.51,51,7,7.47,clear sky
263,Boralday,KZ,43.3578,76.8594,24.66,86,75,4.47,mist
264,Muros,ES,42.7762,-9.0603,52.84,73,0,8.1,clear sky
265,Morlaix,FR,48.5833,-4.0,48.52,100,100,5.75,mist
266,Kiunga,PG,-6.1219,141.2906,72.27,98,100,1.61,overcast clouds
267,Udachnyy,RU,66.4167,112.4,-25.96,100,54,3.65,broken clouds
268,Tocopilla,CL,-22.092,-70.1979,67.96,75,22,4.29,few clouds
269,Baykit,RU,61.67,96.37,-10.82,100,100,1.83,overcast clouds
270,Termiz,UZ,37.2242,67.2783,44.69,87,100,9.22,overcast clouds
271,Faanui,PF,-16.4833,-151.75,81.45,74,11,16.2,light rain
272,Port Augusta,AU,-32.5,137.7667,72.72,58,0,15.26,clear sky
273,Mabaruma,GY,8.2,-59.7833,73.31,74,52,4.79,broken clouds
274,Paamiut,GL,61.994,-49.6678,23.59,87,100,25.1,snow
275,Wenatchee,US,47.4235,-120.3103,31.41,75,93,3.0,overcast clouds
276,La Romana,DO,18.4273,-68.9728,84.56,58,20,11.5,few clouds
277,Cidreira,BR,-30.1811,-50.2056,71.91,63,70,12.44,broken clouds
278,Agaro,ET,7.85,36.65,61.5,53,86,1.77,overcast clouds
279,Annau,TM,37.8876,58.516,35.1,87,40,0.0,scattered clouds
280,Aksarka,RU,66.5606,67.7975,-7.42,98,97,7.58,overcast clouds
281,Atar,MR,20.5169,-13.0499,72.82,21,100,6.62,overcast clouds
282,Fukue,JP,32.6881,128.8419,46.69,59,100,17.81,overcast clouds
283,Lakes Entrance,AU,-37.8811,147.981,69.57,98,100,6.44,light rain
